regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:1.0,58.42 ± 1.41,59.50 ± 0.91
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:10.0,58.20 ± 1.79,59.31 ± 1.31
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:100.0,45.04 ± 4.61,51.91 ± 2.70
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:1.0,59.32 ± 1.11,60.08 ± 1.05
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:10.0,59.25 ± 0.83,59.90 ± 0.81
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:100.0,59.07 ± 1.05,59.84 ± 0.98
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:1.0,56.48 ± 2.26,58.41 ± 1.88
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:10.0,57.29 ± 2.33,58.98 ± 2.05
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:100.0,46.11 ± 14.76,51.32 ± 9.71
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:1.0,59.27 ± 0.99,60.09 ± 0.73
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:10.0,59.40 ± 1.04,60.11 ± 0.84
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:100.0,47.10 ± 5.66,53.00 ± 3.25
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:1.0,59.55 ± 0.66,60.33 ± 0.66
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:10.0,59.51 ± 1.25,60.17 ± 1.20
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:100.0,59.25 ± 1.33,60.11 ± 1.29
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:1.0,56.50 ± 2.74,58.47 ± 2.18
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:10.0,57.90 ± 1.92,59.40 ± 1.75
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:100.0,45.75 ± 16.71,52.36 ± 9.82
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:1.0,59.42 ± 0.94,60.12 ± 0.65
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:10.0,59.61 ± 0.69,60.18 ± 0.59
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:100.0,47.36 ± 5.72,52.90 ± 3.26
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:1.0,59.45 ± 0.81,60.27 ± 0.82
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:10.0,59.74 ± 0.69,60.28 ± 0.76
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:100.0,59.65 ± 0.57,60.30 ± 0.60
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:1.0,56.49 ± 2.74,58.54 ± 1.91
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:10.0,58.15 ± 1.93,59.58 ± 1.76
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:100.0,51.33 ± 13.97,55.07 ± 8.44
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:1.0,57.45 ± 0.86,58.55 ± 0.81
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:10.0,59.35 ± 0.84,59.90 ± 0.83
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:100.0,52.36 ± 7.02,54.97 ± 4.56
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:1.0,57.53 ± 1.54,58.72 ± 1.36
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:10.0,59.61 ± 0.67,60.25 ± 0.68
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:100.0,58.99 ± 1.27,59.89 ± 1.15
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:1.0,55.66 ± 3.67,57.94 ± 2.50
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:10.0,58.04 ± 2.33,59.49 ± 1.98
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:100.0,53.57 ± 8.32,56.87 ± 5.17
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:1.0,53.88 ± 2.94,56.81 ± 1.94
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:10.0,54.92 ± 4.01,57.53 ± 2.42
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:100.0,48.68 ± 8.97,53.37 ± 5.37
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:1.0,58.43 ± 1.60,59.40 ± 1.15
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:10.0,57.28 ± 2.68,58.52 ± 1.71
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:100.0,53.12 ± 8.38,55.96 ± 5.25
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:1.0,56.75 ± 2.67,58.69 ± 1.40
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:10.0,58.36 ± 1.75,59.68 ± 1.00
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:100.0,51.19 ± 10.40,54.89 ± 6.60
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:1.0,56.56 ± 3.20,58.43 ± 1.75
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:10.0,55.29 ± 3.98,57.69 ± 2.70
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:100.0,48.28 ± 8.18,53.61 ± 4.61
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:1.0,58.75 ± 1.42,59.69 ± 0.73
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:10.0,56.98 ± 4.18,58.31 ± 3.22
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:100.0,55.96 ± 2.90,57.62 ± 2.04
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:1.0,56.39 ± 3.63,58.53 ± 1.92
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:10.0,59.14 ± 1.21,60.15 ± 0.92
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:100.0,54.36 ± 5.84,57.57 ± 2.72
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:1.0,57.59 ± 2.62,58.94 ± 1.54
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:10.0,57.00 ± 3.25,58.60 ± 1.85
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:100.0,48.18 ± 7.07,53.31 ± 4.05
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:1.0,59.25 ± 0.99,59.98 ± 0.59
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:10.0,56.21 ± 4.97,57.86 ± 3.75
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:100.0,55.06 ± 4.80,57.03 ± 3.17
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:1.0,56.10 ± 3.74,58.34 ± 2.02
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:10.0,59.23 ± 1.33,60.20 ± 1.06
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:100.0,42.97 ± 14.79,51.60 ± 8.33
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:1.0,58.11 ± 1.31,58.81 ± 0.74
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:10.0,56.24 ± 3.24,57.71 ± 1.96
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:100.0,49.12 ± 6.18,52.90 ± 3.47
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:1.0,58.78 ± 0.80,59.50 ± 0.68
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:10.0,58.94 ± 0.74,59.41 ± 0.67
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:100.0,56.63 ± 4.06,58.33 ± 2.82
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:1.0,54.72 ± 3.42,57.35 ± 1.84
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:10.0,56.18 ± 4.24,58.26 ± 2.09
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:100.0,25.24 ± 11.72,39.98 ± 6.51
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:1.0,55.10 ± 4.31,57.35 ± 2.24
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:10.0,54.77 ± 4.19,57.16 ± 2.17
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:100.0,41.17 ± 5.59,49.80 ± 3.21
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:1.0,55.05 ± 4.44,57.49 ± 2.11
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:10.0,56.17 ± 4.70,58.20 ± 2.28
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:100.0,56.95 ± 2.88,58.46 ± 1.51
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:1.0,33.89 ± 4.25,45.84 ± 3.64
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:10.0,29.56 ± 4.15,42.42 ± 2.63
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:100.0,20.59 ± 3.86,37.01 ± 1.04
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:1.0,56.04 ± 4.39,57.93 ± 2.21
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:10.0,55.66 ± 4.21,57.67 ± 2.19
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:100.0,41.38 ± 6.47,49.80 ± 3.81
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:1.0,55.59 ± 3.85,57.75 ± 1.87
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:10.0,56.60 ± 3.58,58.41 ± 1.87
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:100.0,58.26 ± 2.27,59.29 ± 1.26
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:1.0,34.01 ± 4.13,45.92 ± 3.56
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:10.0,31.39 ± 3.64,43.48 ± 2.75
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:100.0,20.53 ± 3.89,37.01 ± 1.12
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:1.0,56.53 ± 4.27,58.29 ± 2.27
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:10.0,55.82 ± 4.16,57.69 ± 2.15
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:100.0,41.97 ± 7.68,49.85 ± 4.34
